"name","group","element","units","context","S352126","S352127","S352128","S352129","S352130","S352131","S352132","S352133","S352134","S352135","S352136","S352137","S352138","S352139","S352140","S352141","S352142","S352143","S352144","S352145","S352146","S352147","S352148","S352149","S352150","S352151","S352152","S352153","S352154","S352155","S352156","S352157","S352158","S352159","S352160","S352161","S352162","S352163","S352164","S352165","S352166","S352167","S352168","S352169","S352170","S352171","S352172","S352173","S352174","S352175","S352176","S352177","S352178","S352179","S352180","S352181","S352182","S352183","S352184","S352185","S352186","S352187","S352188","S352189","S352190","S352191","S352192","S352193"
Castanea,TRSH,pollen,NISP,,,2,1,5,3,1,1,2,13,6,1,2,4,1,1,1,,2,7,13,1,5,8,,6,,,,1,1,,,2,,,2,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,,,12,2,2,4,1,3,10,1,5,,,1,3,8,8,2,1,2,1,,,,,1,,2,,,2,1,,,3,3,1,2,3,18,6,,13,3,16,8,4,2,,1,3,1,1,1,,2,1,2,,1,4,,4,1,,3,6,3
Cornus,TRSH,pollen,NISP,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Corylus,TRSH,pollen,NISP,,1,4,2,8,13,6,10,,6,1,10,,10,2,2,9,4,7,10,10,4,1,12,1,,,3,3,1,,13,7,8,3,7,4,23,2,4,9,7,2,8,3,11,25,1,10,7,12,18,,5,8,12,23,6,5,10,15,15,22,26,21,23,32,8,3
Cyperaceae,UPHE,pollen,NISP,,,13,19,20,23,44,31,15,18,5,11,2,27,22,28,24,20,21,4,2,12,3,2,9,2,5,1,4,4,10,6,12,15,3,10,13,5,23,22,22,17,16,33,14,3,41,4,18,6,16,9,5,3,10,13,12,4,15,6,2,4,,10,2,10,6,,4
Cystopteris-type,VACR,spore,NISP,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daphne,TRSH,pollen,NISP,,3,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ephedra,TRSH,pollen,NISP,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equisetum,VACR,spore,NISP,,1,93,,3,,6,,12,3,3,,4,3,1,,1,1,,,,,1,,,,,,,,1,2,1,2,20,,4,,1,3,,,10,1,3,5,,20,8,,,10,4,11,2,4,,1,,24,10,7,1,,2,,,,4
Ericaceae,TRSH,pollen,NISP,,6,2,6,5,3,5,5,4,4,4,4,2,3,5,3,3,16,2,8,2,11,3,3,6,5,3,9,4,12,3,3,2,3,6,14,9,9,2,4,8,12,1,3,5,4,21,7,7,6,7,8,3,5,3,8,9,4,32,2,8,5,2,11,5,2,2,3,
