Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column10;Column15;Column18;Column25;Column26;Column27;Column32;Column33;Column35;Column38;Column42;Column52;Column54;Column57;Column59;Column77;Column79;Column83;Column96;Column103;Column104
Sphagnum;AQBR;spore;NISP;;1;1;;;;;;;1;;;;;;;1;;;1;;;1;
Stachys-type;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;;;;;
Succisa;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;;;;;
Thalictrum;UPHE;pollen;NISP;;;;;;;;;1;;;;;;;;1;;;1;;;;
Thelypteris palustris-type;VACR;spore;NISP;;1;;;;;1;;;;1;;1;5;;;5;;2;3;;2;;
Tilia;TRSH;pollen;NISP;;2;1;2;7;7;7;4;4;13;10;18;8;6;30;14;33;22;28;28;10;39;51;26
Triticum-type;UPHE;pollen;NISP;;11;8;;;;;;;;;;;;1;;;;;;;;;
Typha angustifolia-type;AQVP;pollen;NISP;;;3;2;3;;1;5;;6;2;4;6;10;3;11;2;1;;3;1;;;1
Ulmus;TRSH;pollen;NISP;;51;43;28;8;6;10;18;22;11;16;30;26;11;66;22;42;35;27;18;16;87;89;38
Unknown;UNID;pollen/spore;NISP;;;1;1;;;;;;1;1;2;;;1;;;;;;1;;;
Urtica;UPHE;pollen;NISP;;1;;;3;;;;;;;;;;;;1;;;;1;;;
Valeriana;UPHE;pollen;NISP;;;;;;;;;;;;;;2;;1;;;;;;;;
Viburnum;TRSH;pollen;NISP;;;;;;1;2;;;2;1;1;;;;;;1;;3;1;;;
Viscum;TRSH;pollen;NISP;;;1;;;;;;;;;;;;;;;;;;;2;;
cf. Calystegia;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;;;;;;;
cf. Chrysosplenium;UPHE;pollen;NISP;;;;;;;;;;;;;;;;;;1;;;;;;
